Macedonia (Former Yugoslav Republic)	Macedonian Denar	0.014135	£10,000.00	£156.00
Madagascar	Malagasy Ariary	0.000181	£10,000.00	£156.00
Malawi	Malawi Kwacha	0.000726	£10,000.00	£156.00
Malaysia	Ringgit	0.176932	£10,000.00	£156.00
Maldives	Rufiyaa	0.052276	£14,995.00	£234.00
Mali	CFA Franc (BCEAO)	0.001326	£10,000.00	£156.00
Malta	Euro	0.869943	£19,995.00	£312.00
Marshall Islands	U.S. Dollar	0.804376	£29,990.00	£468.00
Martinique	Euro	0.869943	£19,995.00	£312.00
Mauritania	Ouguiyas	0.021875	£10,000.00	£156.00
Mauritius	Mauritius Rupee	0.017876	£10,000.00	£156.00
Mayotte	Euro	0.869943	£19,995.00	£312.00
Mexico	Mexican Peso	0.045008	£14,995.00	£234.00
Moldova	Moldovan Leu	0.044199	£10,000.00	£156.00
Monaco	Euro	0.869943	£24,990.00	£390.00
Mongolia	Tugrik	0.000231	£10,000.00	£156.00
Montenegro	Euro	0.869943	£10,000.00	£156.00
Montserrat	East Caribbean Dollar	0.297814	£24,990.00	£390.00
Morocco	Moroccan Dirham	0.079135	£10,000.00	£156.00
Mozambique	Metical	0.012592	£10,000.00	£156.00
Myanmar	Kyat	0.000383	£5,000.00	£78.00
Namibia	Namibian Dollar	0.044028	£14,995.00	£234.00
Nauru	Australian Dollar	0.536251	£24,990.00	£390.00
Nepal	Nepalese Rupee	0.00609	£10,000.00	£156.00
Netherlands	Euro	0.869943	£24,990.00	£390.00
New Caledonia	CFP Franc	0.00729	£19,995.00	£312.00
New Zealand	New Zealand Dollar	0.495166	£29,990.00	£468.00
Nicaragua	Gold Cordoba	0.02207	£10,000.00	£156.00
Niger	CFA Franc (BCEAO)	0.001326	£10,000.00	£156.00
Nigeria	Nigerian Naira	0.001309	£10,000.00	£156.00
Niue	New Zealand Dollar	0.495166	£29,990.00	£468.00
Norfolk Island	Australian Dollar	0.536251	£29,990.00	£468.00
Northern Mariana Islands	U.S. Dollar	0.804376	£29,990.00	£468.00
Norway	Norwegian Krone	0.07681	£29,990.00	£468.00
Oman	Rial Omani	2.089427	£19,995.00	£312.00
Pakistan	Pakistan Rupee	0.002925	£5,000.00	£78.00
Palau	U.S. Dollar	0.804376	£19,995.00	£312.00
Palestine (Occupied Territory)	New Israeli Shekel	0.220104	£14,995.00	£234.00
Panama	Balboas	0.804376	£14,995.00	£234.00
Papua New Guinea	Kina	0.224734	£19,995.00	£312.00
Paraguay	Guarani	0.00011	£10,000.00	£156.00
Peru	New Sol	0.214638	£14,995.00	£234.00
Philippines	Philippine Peso	0.014447	£10,000.00	£156.00
Pitcairn	New Zealand Dollar	0.495166	£24,990.00	£390.00
Poland	Zloty	0.190581	£14,995.00	£234.00
Portugal	Euro	0.869943	£14,995.00	£234.00
Puerto Rico	U.S. Dollar	0.804376	£24,990.00	£390.00
Qatar	Qatar Riyal	0.220946	£24,990.00	£390.00
Reunion	Euro	0.869943	£19,995.00	£312.00
Romania	Romanian Leu	0.175939	£10,000.00	£156.00
Russian Federation	Russian Ruble	0.009652	£14,995.00	£234.00
Rwanda	Rwanda Franc	0.000704	£10,000.00	£156.00
Saint Helena	Saint Helena Pound	1	£24,990.00	£390.00
Saint Kitts and Nevis	East Caribbean Dollar	0.297814	£19,995.00	£312.00
Saint Lucia	East Caribbean Dollar	0.297814	£19,995.00	£312.00
Saint Martin (French part)	Euro	0.869943	£19,995.00	£312.00
Saint Pierre and Miquelon	Euro	0.869943	£19,995.00	£312.00
Saint Vincent and Grenadines	East Caribbean Dollar	0.297814	£14,995.00	£234.00
Saint-Barthelemy	Euro	0.869943	£19,995.00	£312.00
Samoa	Tala	0.294794	£19,995.00	£312.00
San Marino	Euro	0.869943	£19,995.00	£312.00
Sao Tome and Principe	Dobras	0.000035	£14,995.00	£234.00
Saudi Arabia	Saudi Riyal	0.214371	£14,995.00	£234.00
Senegal	CFA Franc (BEAC)	0.001326	£10,000.00	£156.00
Serbia	Serbian Dinar	0.007419	£10,000.00	£156.00
Seychelles	Seychelles Rupee	0.058282	£14,995.00	£234.00
Sierra Leone	Leone	0.000063	£5,000.00	£78.00
Singapore	Singapore Dollar	0.59891	£19,995.00	£312.00
Sint Maarten (Dutch part)	Antilles Guilder	0.437573	£24,990.00	£390.00
Slovakia	Euro	0.869943	£14,995.00	£234.00
Slovenia	Euro	0.869943	£19,995.00	£312.00
Solomon Islands	Solomon Islands Dollar	0.096349	£24,990.00	£390.00
Somalia	Somali Shilling	0.001413	£10,000.00	£156.00
South Africa	Rand	0.044028	£14,995.00	£234.00
South Georgia and the South Sandwich Islands	British Pound	1	£24,990.00	£390.00
South Sudan	Sudanese Pound	0.106451	£10,000.00	£156.00
Spain	Euro	0.869943	£19,995.00	£312.00
Sri Lanka	Sri Lankan Rupee	0.002431	£5,000.00	£78.00
Sudan	Sudanese Pound	0.001363	£10,000.00	£156.00
Suriname	Surinam Dollar	0.022201	£10,000.00	£156.00
Svalbard and Jan Mayen Islands	Norwegian Krone	0.07681	£29,990.00	£468.00
Swaziland	Lilangeni	0.044028	£10,000.00	£156.00
Sweden	Swedish Krona	0.076126	£24,990.00	£390.00
Switzerland	Swiss Franc	0.893575	£34,990.00	£546.00
Syria	Syrian Pound	0.00399	£14,995.00	£234.00
Taiwan	Taiwan Dollar	0.025877	£24,990.00	£390.00
Tajikistan	Somoni	0.12336	£5,000.00	£78.00
Thailand	Thai Baht	0.023166	£10,000.00	£156.00
Timor-Leste	U.S. Dollar	0.804376	£14,995.00	£234.00
Togo	CFA Franc (BEAC)	0.001326	£10,000.00	£156.00
Tokelau	New Zealand Dollar	0.495166	£29,990.00	£468.00
Tonga	Pa’anga	0.470367	£19,995.00	£312.00
Trinidad and Tobago	Trinidad & Tobago Dollar	0.119008	£19,995.00	£312.00
Tunisia	Tunisian Dinar	0.259686	£10,000.00	£156.00
Turkey	Turkish New Lira	0.034908	£10,000.00	£156.00
Turkmenistan	Turkmenistan New Manat	0.230033	£14,995.00	£234.00
Turks and Caicos Islands	U.S. Dollar	0.804376	£29,990.00	£468.00
Tuvalu	Australian Dollar	0.536251	£29,990.00	£468.00
Uganda	Ugandan New Shilling	0.000216	£10,000.00	£156.00
Ukraine	Hryvnia	0.02187	£10,000.00	£156.00
United Arab Emirates	U.A.E. Dirham	0.21901	£19,995.00	£312.00
United Kingdom	British Pound	1	£24,990.00	£390.00
United republic of Tanzania	Tanzanian Shilling	0.000334	£10,000.00	£156.00
United States of America	U.S. Dollar	0.804376	£29,990.00	£468.00
Uruguay	Uruguayan Peso	0.020756	£19,995.00	£312.00
Uzbekistan	Uzbekistan Sum	0.000069	£5,000.00	£78.00
Vanuatu	Vatu	0.00674	£24,990.00	£390.00
Venezuela	Bolivar Fuerte	0.000003	£14,995.00	£234.00
Vietnam	Dong	0.000034	£10,000.00	£156.00
Virgin Islands (British)	U.S. Dollar	0.804376	£24,990.00	£390.00
Virgin Islands (US)	U.S. Dollar	0.804376	£29,990.00	£468.00
Wallis and Futuna Islands	CFP Franc	0.00729	£19,995.00	£312.00
Western Sahara	Moroccan Dirham	0.079135	£10,000.00	£156.00
Yemen	Yemeni Rial	0.003214	£14,995.00	£234.00
Zambia	Zambian Kwacha	0.041173	£10,000.00	£156.00
Zimbabwe	Zimbabwean Dollar	0.000642	£14,995.00	£234.00
